order-id	Ship Date	Shipping Method
106-5264526-8153034	2016-05-25	USPS
102-9598732-7315406	2016-05-25	USPS
113-5075410-9300201	2016-05-25	USPS
108-3630854-7271419	2016-05-25	USPS
116-6785957-5185043	2016-05-25	USPS
110-4064905-9941069	2016-05-25	USPS
112-5631692-8183420	2016-05-25	USPS
112-1678032-3837063	2016-05-25	USPS
102-0915492-6769856	2016-05-25	USPS
103-9111135-1255402	2016-05-25	USPS
109-7474681-9634649	2016-05-25	USPS
115-1998653-8654637	2016-05-25	USPS
110-5439135-6584216	2016-05-25	USPS
103-2354279-0815453	2016-05-25	USPS
110-1225281-8230608	2016-05-25	USPS
102-5983975-3149069	2016-05-25	USPS
105-2262730-7139458	2016-05-25	USPS
110-8284998-3925030	2016-05-25	USPS
116-3034497-1927414	2016-05-25	USPS
114-3040964-4902600	2016-05-25	USPS
107-0817534-5833808	2016-05-25	USPS
106-1834318-3346647	2016-05-25	USPS
115-8741578-4471428	2016-05-25	USPS
116-9560927-6835439	2016-05-25	USPS
114-9086608-6141004	2016-05-25	USPS
702-3404092-4873002	2016-05-25	Canada post
702-3404092-4873002	2016-05-25	Canada post
701-7417435-4415422	2016-05-25	Canada post
702-1355456-3345859	2016-05-25	Canada post
