order-id	Ship Date	Shipping Method
112-2709741-8521016	2016-05-10	USPS
116-7591878-3876259	2016-05-10	USPS
108-6964946-5802669	2016-05-10	USPS
102-0553769-3137030	2016-05-10	USPS
103-0782436-5649838	2016-05-10	USPS
110-9362204-5010624	2016-05-10	USPS
107-3354536-4937818	2016-05-10	USPS
104-8466557-5933017	2016-05-10	USPS
112-9669116-3061825	2016-05-10	USPS
112-4232220-1249006	2016-05-10	USPS
103-6902985-8021847	2016-05-10	USPS
115-0016533-6481055	2016-05-10	USPS
106-3471702-5506603	2016-05-10	USPS
111-6029855-7406631	2016-05-10	USPS
103-5200764-8736255	2016-05-10	USPS
116-0028984-1711407	2016-05-10	USPS
112-8780349-4971456	2016-05-10	USPS
107-3716239-8149825	2016-05-10	USPS
002-1991639-6118669	2016-05-10	USPS
102-6092033-5580215	2016-05-10	USPS
110-4940724-9721014	2016-05-10	USPS
112-4259663-2938647	2016-05-10	USPS
108-7354213-9621018	2016-05-10	USPS
102-1141160-9825846	2016-05-10	USPS
002-7337802-1370635	2016-05-10	USPS
103-4992324-8932267	2016-05-10	USPS
102-1376795-6375443	2016-05-10	USPS
107-7278365-8099448	2016-05-10	USPS
113-7211965-5821024	2016-05-10	USPS
102-1441351-2085838	2016-05-10	USPS
108-1517125-5394610	2016-05-10	USPS
115-0827451-3829012	2016-05-10	USPS
701-9945338-0136233	2016-05-10	Canada post
701-8319871-5479461	2016-05-10	Canada post
701-1122630-8321030	2016-05-10	Canada post
