order-id	Ship Date	Shipping Method
102-5451025-6467450	2016-05-16	USPS
109-7215339-0967403	2016-05-16	USPS
115-3190497-7851434	2016-05-16	USPS
111-4035008-5449049	2016-05-16	USPS
105-9394772-0034613	2016-05-16	USPS
109-2324724-7804221	2016-05-16	USPS
104-3714356-5882600	2016-05-16	USPS
116-5860657-3025027	2016-05-16	USPS
112-0361727-5408260	2016-05-16	USPS
104-1114009-4641824	2016-05-16	USPS
113-9839758-1403418	2016-05-16	USPS
002-0239161-8767442	2016-05-16	USPS
115-1108436-6583443	2016-05-16	USPS
116-1630412-8669841	2016-05-16	USPS
105-0263107-1670600	2016-05-16	USPS
105-8273871-3933852	2016-05-16	USPS
115-3281876-1809834	2016-05-16	USPS
114-9683283-3464216	2016-05-16	USPS
106-0031326-7577021	2016-05-16	USPS
109-1221414-1553841	2016-05-16	USPS
002-4708139-6193824	2016-05-16	USPS
111-9783337-2062645	2016-05-16	USPS
002-4920446-9076220	2016-05-16	USPS
102-4314178-1388239	2016-05-16	USPS
115-7192373-9528235	2016-05-16	USPS
106-2546151-7314639	2016-05-16	USPS
104-6345319-6280256	2016-05-16	USPS
104-4245997-3872258	2016-05-16	USPS
111-0253339-3443470	2016-05-16	USPS
111-3868114-1993838	2016-05-16	USPS
116-1239711-4543437	2016-05-16	USPS
114-7109617-8837838	2016-05-16	USPS
104-1346595-9327465	2016-05-16	USPS
002-7922542-7891455	2016-05-16	USPS
114-7023852-6367443	2016-05-16	USPS
102-3110824-9203460	2016-05-16	USPS
115-6039515-9231434	2016-05-16	USPS
110-0551660-0757021	2016-05-16	USPS
102-6163076-4818632	2016-05-16	USPS
115-5270027-3823416	2016-05-16	USPS
701-3420165-7201026	2016-05-16	Canada post
701-3811006-1899452	2016-05-16	Canada post
702-1532181-1425003	2016-05-16	Canada post
701-2861907-6381830	2016-05-16	Canada post
