order-id	Ship Date	Shipping Method
106-1642482-4307423	2016-05-20	USPS
115-6111545-7891435	2016-05-20	USPS
116-8790048-0717004	2016-05-20	USPS
105-9758486-6401820	2016-05-20	USPS
103-3826736-1876231	2016-05-20	USPS
116-6859553-8266624	2016-05-20	USPS
103-7680562-6435446	2016-05-20	USPS
110-5879616-6137050	2016-05-20	USPS
110-8664334-2891463	2016-05-20	USPS
111-0378885-2218656	2016-05-20	USPS
108-5036438-3785819	2016-05-20	USPS
112-6059038-3480259	2016-05-20	USPS
110-4436013-9757058	2016-05-20	USPS
106-3539496-7719408	2016-05-20	USPS
106-3539496-7719408	2016-05-20	USPS
103-3658488-2409806	2016-05-20	USPS
116-8560656-7481042	2016-05-20	USPS
112-5838604-2441855	2016-05-20	USPS
116-0983058-5717831	2016-05-20	USPS
701-9058330-7092231	2016-05-20	Canada post
