order-id	Ship Date	Shipping Method
102-7185389-7306618	2016-05-13	USPS
113-4728099-2244245	2016-05-13	USPS
104-2160797-4875400	2016-05-13	USPS
002-0681272-5561060	2016-05-13	USPS
113-0528463-1509006	2016-05-13	USPS
112-7272538-0145061	2016-05-13	USPS
108-3573966-8089018	2016-05-13	USPS
104-2532297-7969048	2016-05-13	USPS
111-0601748-4615453	2016-05-13	USPS
104-1076412-2885024	2016-05-13	USPS
102-9893313-6529833	2016-05-13	USPS
110-4898570-7567416	2016-05-13	USPS
103-0479327-8650665	2016-05-13	USPS
105-3628529-4617029	2016-05-13	USPS
105-7260202-6551414	2016-05-13	USPS
114-2058396-4117048	2016-05-13	USPS
002-7933554-8393831	2016-05-13	USPS
102-0826024-7297853	2016-05-13	USPS
103-8076908-0917858	2016-05-13	USPS
111-2750430-5789830	2016-05-13	USPS
103-7575480-7342605	2016-05-13	USPS
106-5602284-4661835	2016-05-13	USPS
105-5155199-5773809	2016-05-13	USPS
106-0513709-0876222	2016-05-13	USPS
111-7141759-8594610	2016-05-13	USPS
107-7902528-1320235	2016-05-13	USPS
103-4888559-0100225	2016-05-13	USPS
110-2829492-4171414	2016-05-13	USPS
102-1314657-3874638	2016-05-13	USPS
108-1319085-3277021	2016-05-13	USPS
111-1714148-3077001	2016-05-13	USPS
116-4663963-6840217	2016-05-13	USPS
111-8909513-4604258	2016-05-13	USPS
002-8561012-9420254	2016-05-13	USPS
701-8918782-4112238	2016-05-13	Canada post
