order-id	Ship Date	Shipping Method
115-2504321-1288217	2016-05-18	USPS
108-7672899-6117812	2016-05-18	USPS
104-1493993-5365010	2016-05-18	USPS
116-2184204-7051457	2016-05-18	USPS
112-6250670-6883436	2016-05-18	USPS
115-1853539-2419444	2016-05-18	USPS
107-9524085-7994631	2016-05-18	USPS
002-5539718-7834664	2016-05-18	USPS
106-5177444-3686625	2016-05-18	USPS
106-4495004-9397016	2016-05-18	USPS
116-5454043-1233817	2016-05-18	USPS
116-4088330-0543450	2016-05-18	USPS
105-7035887-7673051	2016-05-18	USPS
112-0782411-6701863	2016-05-18	USPS
114-5207438-6443416	2016-05-18	USPS
002-5405767-3348247	2016-05-18	USPS
105-4047004-7906663	2016-05-18	USPS
114-7116679-7473833	2016-05-18	USPS
115-0799493-0110665	2016-05-18	USPS
002-0888724-8708234	2016-05-18	USPS
002-3372274-5738641	2016-05-18	USPS
116-6788211-6084267	2016-05-18	USPS
107-8417162-3357032	2016-05-18	USPS
103-8895060-0764264	2016-05-18	USPS
115-5104997-6792269	2016-05-18	USPS
106-5224977-1147420	2016-05-18	USPS
115-9323054-4873007	2016-05-18	USPS
702-2565247-2157803	2016-05-18	Canada post
701-9098651-2437862	2016-05-18	Canada post
701-2382397-1792210	2016-05-18	Canada post
701-0911035-8349831	2016-05-18	Canada post
