order-id	Ship Date	Shipping Method
701-1966667-1023467	2016-05-06	Canada post
702-4310979-7851443	2016-05-06	Canada post
701-1867616-3774651	2016-05-06	Canada post
116-8069454-9250631	2016-05-06	USPS
114-5235894-1198667	2016-05-06	USPS
116-8291268-1088246	2016-05-06	USPS
107-2410495-5530643	2016-05-06	USPS
102-0359575-2149013	2016-05-06	USPS
114-3819439-7735415	2016-05-06	USPS
113-2211025-4677020	2016-05-06	USPS
110-8578246-8685068	2016-05-06	USPS
114-6043183-4716265	2016-05-06	USPS
116-4723211-3000268	2016-05-06	USPS
113-5384612-6555415	2016-05-06	USPS
113-5384612-6555415	2016-05-06	USPS
116-5089139-9914659	2016-05-06	USPS
104-5229208-7412247	2016-05-06	USPS
104-0642447-9379409	2016-05-06	USPS
116-7790849-7557063	2016-05-06	USPS
108-5585550-4728240	2016-05-06	USPS
104-4079978-3886609	2016-05-06	USPS
110-2718435-5025045	2016-05-06	USPS
111-6199306-4197007	2016-05-06	USPS
105-4404265-0678652	2016-05-06	USPS
111-9517831-5581827	2016-05-06	USPS
111-1121769-8316267	2016-05-06	USPS
109-8326254-9976244	2016-05-06	USPS
109-8738682-7983434	2016-05-06	USPS
110-4097461-9925054	2016-05-06	USPS
103-1287446-2689030	2016-05-06	USPS
114-3241456-9748218	2016-05-06	USPS
109-1505258-1548219	2016-05-06	USPS
107-1947102-6413027	2016-05-06	USPS
109-9789045-2593868	2016-05-06	USPS
104-7038506-2513011	2016-05-06	USPS
110-3474746-2072266	2016-05-06	USPS
110-3258211-6141840	2016-05-06	USPS
108-5235607-6629021	2016-05-06	USPS
109-1403025-3500225	2016-05-06	USPS
111-2970010-6902621	2016-05-06	USPS
105-4570959-5249823	2016-05-06	USPS
115-3968385-4805866	2016-05-06	USPS
115-3694723-5799446	2016-05-06	USPS
