order-id	Ship Date	Shipping Method
111-1561922-2369026	2016-05-23	USPS
102-2152043-2441839	2016-05-23	USPS
105-9131449-7869800	2016-05-23	USPS
104-0203245-8935431	2016-05-23	USPS
111-5141250-2594633	2016-05-23	USPS
110-6035541-6598606	2016-05-23	USPS
107-9461139-8329043	2016-05-23	USPS
002-2425393-5611454	2016-05-23	USPS
105-8025863-1787423	2016-05-23	USPS
002-4663184-5565037	2016-05-23	USPS
114-0458994-3578629	2016-05-23	USPS
115-3431092-8823459	2016-05-23	USPS
105-6375857-4979441	2016-05-23	USPS
107-1429372-7736266	2016-05-23	USPS
106-6624359-1848235	2016-05-23	USPS
116-9806622-8979416	2016-05-23	USPS
114-7084867-5490639	2016-05-23	USPS
112-0046788-9772250	2016-05-23	USPS
110-1077941-9012238	2016-05-23	USPS
112-4919619-5995404	2016-05-23	USPS
111-4035530-4844232	2016-05-23	USPS
103-4340623-8066645	2016-05-23	USPS
108-0466822-8155426	2016-05-23	USPS
113-5602553-8766626	2016-05-23	USPS
108-2681383-0499444	2016-05-23	USPS
701-6604656-8833809	2016-05-23	Canada post
701-7417149-7222606	2016-05-23	Canada post
701-9949906-7601851	2016-05-23	Canada post
701-5344193-4884227	2016-05-23	Canada post
701-1539204-7520223	2016-05-23	Canada post
