order-id	Ship Date	Shipping Method
701-9411879-0938643	2016-05-04	Canada post
702-6333108-2255438	2016-05-04	Canada post
702-6333108-2255438	2016-05-04	Canada post
702-7965962-0502632	2016-05-04	Canada post
701-3338585-1377069	2016-05-04	Canada post
701-0209250-3757064	2016-05-04	Canada post
702-7861666-4120225	2016-05-04	Canada post
102-9580311-4554618	2016-05-04	USPS
105-4248601-5894660	2016-05-04	USPS
102-7113556-9249004	2016-05-04	USPS
109-6460600-0715414	2016-05-04	USPS
104-0190287-4015462	2016-05-04	USPS
114-7177795-1950650	2016-05-04	USPS
002-6895819-4181824	2016-05-04	USPS
103-7030454-7664231	2016-05-04	USPS
102-7863875-3681029	2016-05-04	USPS
104-3894101-0193834	2016-05-04	USPS
116-6448624-3351466	2016-05-04	USPS
103-0619651-5729066	2016-05-04	USPS
111-5420390-5309063	2016-05-04	USPS
108-6586206-6015436	2016-05-04	USPS
104-9823937-4193813	2016-05-04	USPS
105-3816494-7954660	2016-05-04	USPS
103-8740468-2324250	2016-05-04	USPS
110-2083266-6380238	2016-05-04	USPS
108-3819862-9537849	2016-05-04	USPS
116-4839534-8393859	2016-05-04	USPS
116-7637279-8098640	2016-05-04	USPS
002-1332805-7465041	2016-05-04	USPS
002-6055744-3802661	2016-05-04	USPS
116-4924843-3137855	2016-05-04	USPS
111-8897893-7927444	2016-05-04	USPS
106-4164940-2972201	2016-05-04	USPS
110-9814797-6939443	2016-05-04	USPS
113-6328772-0513055	2016-05-04	USPS
104-2094007-2306639	2016-05-04	USPS
113-8907334-0725853	2016-05-04	USPS
112-7981302-7851451	2016-05-04	USPS
105-0715074-7822633	2016-05-04	USPS
116-7729649-8351423	2016-05-04	USPS
115-0518057-7819460	2016-05-04	USPS
107-8804939-3685055	2016-05-04	USPS
111-3355509-2930652	2016-05-04	USPS
105-0103577-3749036	2016-05-04	USPS
104-2177049-5839423	2016-05-04	USPS
002-2016958-0710602	2016-05-04	USPS
